operationType,recordedAtNanos,latencyNanos,quorumCheckOnRead,leaseEnabled,deferCommitEnabled,inheritLeaseEnabled
read,1738554454820442839,519957,False,False,False,False
read,1738554454820962909,591534,False,False,False,False
read,1738554454821554555,678333,False,False,False,False
read,1738554454822233112,703473,False,False,False,False
read,1738554454822936858,1820708,False,False,False,False
read,1738554454824757765,612723,False,False,False,False
read,1738554454825370682,656615,False,False,False,False
read,1738554454826027484,1182650,False,False,False,False
read,1738554454827210231,1043542,False,False,False,False
read,1738554454828253908,676670,False,False,False,False
read,1738554454828930695,663459,False,False,False,False
read,1738554454829595426,492877,False,False,False,False
read,1738554454830088424,673890,False,False,False,False
read,1738554454830762457,501395,False,False,False,False
read,1738554454831264018,673469,False,False,False,False
read,1738554454831937660,854221,False,False,False,False
read,1738554454832792035,829359,False,False,False,False
read,1738554454833621516,2993621,False,False,False,False
read,1738554454836615368,1343580,False,False,False,False
read,1738554454837959097,2932468,False,False,False,False
read,1738554454840891787,609968,False,False,False,False
read,1738554454841501939,712973,False,False,False,False
read,1738554454842215038,890161,False,False,False,False
read,1738554454843105409,672882,False,False,False,False
read,1738554454843778426,646460,False,False,False,False
read,1738554454844425087,918520,False,False,False,False
read,1738554454845343821,1122739,False,False,False,False
read,1738554454846466815,644654,False,False,False,False
read,1738554454847111580,595489,False,False,False,False
read,1738554454847707224,709486,False,False,False,False
read,1738554454848416957,397058,False,False,False,False
read,1738554454848814211,1915999,False,False,False,False
